Name,Record,Height,Weight
Jeff Hughes,10-1-0,187,258
Mark Hunt,"13-12-1, 1NC",177,265
Al Iaquinta,13-4-1,175,155
Dan Ige,9-2-0,170,145
Naoki Inoue,11-0-0,172,125
Teruto Ishihara,11-5-2,170,135
Blagoy Ivanov,16-2-1,180,251
Jason Jackson,7-3-0,185,170
Mike Jackson,1-1-0,187,170
Montel Jackson,6-0-0,175,135
Ryan Janes,10-3-0,190,185
Rony Jason,"15-7-0, 1NC",170,145
Joanna Jedrzejczyk,14-2-0,167,115
Chanmi Jeon,5-2-0,167,115
Li Jingliang,14-5-0,182,170
Brett Johns,15-1-0,170,135
Demetrious Johnson,27-2-1,160,125
Jordan Johnson,9-0-0,187,205
Kajan Johnson,22-12-1,180,155
Michael Johnson,18-12-0,177,155
Timothy Johnson,12-4-0,190,265
Daniel Jolly,5-3-0,185,205
Antonio Jones,7-0-0,182,185
Jamelle Jones,7-5-0,182,205
Jon Jones,23-1-0,193,205
Justin Jones,9-2-0,180,185
Krzysztof Jotko,19-5-0,185,185
Alan Jouban,16-6-0,182,170
Silvana Juarez,6-2-0,160,125
Luke Jumeau,13-4-0,180,170
Chan Sung Jung,14-4-0,170,145
Myles Jury,17-3-0,177,145
Bharat Kandare,5-3-0,170,135
Kyung Ho Kang,"13-7-0, 1NC",175,135
Nadia Kassem,5-0-0,165,115
Brad Katona,8-0-0,167,145
Calvin Kattar,18-3-0,180,145
Brian Kelleher,19-9-0,167,135
Daniel Kelly,13-4-0,182,185
Song Kenan,13-4-0,182,170
Jeremy Kennedy,11-1-0,180,145
Casey  Kenney,7-1-1,170,125
Rustam Khabilov,21-3-0,172,155
Adam Khaliev,6-0-0,177,170
Alfred  Khashakyan,8-4-0,172,135
Jacob Kilburn,3-1-0,175,145
Dong Hyun Kim,16-8-3,180,155
Dong Hyun Kim,"22-4-1, 1NC",187,170
Ji Yeon Kim,7-1-2,170,125
Jeremy Kimball,15-8-0,182,205
Justine Kish,6-2-0,165,125
Drakkar Klose,9-1-1,172,155
Jason Knight,20-5-0,177,145
Erik Koch,15-6-0,177,155
Syuri Kondo,6-1-0,162,115
Karolina Kowalkiew...,12-2-0,160,115
James Krause,23-8-0,187,155
Pascal Krauss,11-2-0,185,170
Kiichi Kunimoto,"19-6-2, 1NC",177,170
Yana Kunitskaya,"10-4-0, 1NC",167,145
Kwan Ho Kwak,9-2-0,170,135
Aspen Ladd,6-0-0,167,135
Ryan LaFlare,13-2-0,185,170
Tina Lahdemaki,5-1-0,157,115
Ricardo Lamas,18-7-0,172,145
Austen Lane,4-1-0,200,245
Lina Lansberg,8-3-0,170,135
Chad Laprise,14-3-0,177,170
Ilir Latifi,"15-5-0, 1NC",177,205
Jenel Lausa,7-4-0,165,125
Joe Lauzon,27-16-0,177,155
Robbie Lawler,"28-12-0, 1NC",180,170
Tom Lawlor,"10-6-0, 1NC",182,205
Thanh  Le,7-1-0,175,145
Mickael Lebout,"14-5-1, 1NC",180,155
Justin Ledet,"9-1-0, 1NC",193,240
Andrea Lee,9-2-0,170,125
Kevin Lee,16-4-0,175,155
Cheyden  Leialoha,6-1-0,172,135
Thales Leites,27-9-0,185,185
Amanda Lemos,6-1-1,162,135
Nik Lentz,"30-9-2, 1NC",172,155
Derrick Lewis,"20-5-0, 1NC",190,260
Hyun Gyu Lim,13-7-1,190,170
Dhiego Lima,14-7-0,187,170
Juliana Lima,9-5-0,165,115
John Lineker,31-8-0,160,135
Pingyuan Liu,11-5-0,172,135
Artem Lobov,"14-14-1, 1NC",175,145
Hector Lombard,"34-9-1, 2NC",175,185
Benito Lopez,9-0-0,177,135
Matthew Lopez,10-4-0,170,135
Joseph Lowry,7-0-0,177,155
Vicente Luque,13-6-1,180,170
Veronica Macedo,5-2-1,162,135
Reza Madadi,14-6-0,180,155
Don Madge,7-1-0,182,155
Neil Magny,21-7-0,190,170
Rashid Magomedov,20-2-0,175,155
Ruslan Magomedov,14-1-0,190,242
Zabit Magomedshari...,15-1-0,185,145
Demian Maia,25-9-0,185,170
Jennifer Maia,15-5-1,162,125
John  Makdessi,15-6-0,172,155
Islam Makhachev,15-1-0,177,155
Jimi Manuwa,17-3-0,185,205
Randa Markos,8-6-0,162,115
Julian Marquez,7-2-0,187,185
Jack Marshman,22-7-0,182,170
Tony Martin,12-4-0,182,155
Adriano Martins,28-9-0,177,155
Tiffany Masters,2-1-0,160,115
Jorge Masvidal,32-13-0,180,170
Jake Matthews,13-3-0,180,170
Don'Tale Mayes,4-2-0,198,260
Gray Maynard,"14-7-1, 1NC",172,145
Gina Mazany,5-2-0,167,135
Michael McBride,8-3-0,185,155
Ian McCall,13-5-1,165,125
Molly McCann,7-2-0,162,125
Court McGee,19-6-1,180,170
Conor McGregor,21-3-0,175,155
Sara McMann,11-5-0,167,135
Tim Means,"27-10-1, 1NC",187,170
Yancy Medeiros,"15-5-0, 1NC",177,170
Emil Meek,"9-4-1, 1NC",180,170
Gerald Meerschaert,28-9-0,185,185
Jordan Mein,30-12-0,182,170
Gilbert Melendez,22-7-0,175,155
Augusto Mendes,6-2-0,167,135
Chad Mendes,18-4-0,167,145
Alonzo Menifield,7-0-0,185,205
Jonathan Meunier,8-1-0,190,170
Bojan Mihajlovic,10-5-0,180,205
Curtis Millender,16-3-0,190,170
Jim Miller,"28-11-0, 1NC",172,155
Adam Milstead,"8-2-0, 1NC",190,205
Alberto Mina,13-1-0,182,170
Stipe Miocic,18-3-0,193,240
Frank Mir,18-11-0,190,264
Vitor Miranda,13-7-0,185,185
Toby Misech,10-4-0,172,145
Bryce Mitchell,10-1-0,177,145
Maurice Mitchell,11-1-0,175,145
Roxanne Modafferi,22-15-0,170,125
Bobby Moffett,11-3-0,177,145
Renato Moicano,12-1-1,180,145
Ashkan Mokhtarian,13-3-0,167,125
Nicco Montano,5-2-0,165,125
Marlon Moraes,21-5-1,167,135
Sergio Moraes,13-4-1,182,170
Sheymon Moraes,9-1-0,172,145
John Moraga,19-6-0,167,125
Albert Morales,7-4-1,175,135
Joseph Morales,9-1-0,167,125
Vince Morales,7-1-0,170,135
Sarah Moras,5-4-0,170,135
Brandon Moreno,14-5-0,170,125
Dan Moret,13-5-0,182,155
Alex Morono,"14-4-0, 1NC",180,170
Maryna Moroz,8-3-0,170,115
Jamie Moyle,4-3-0,154,115
Lauren Mueller,6-0-0,165,125
Belal Muhammad,14-2-0,180,170
James Mulheron,11-2-0,177,243
Pedro Munhoz,"15-3-0, 1NC",167,135
Alex Munoz,4-0-0,175,155
Lauren Murphy,10-4-0,170,125
Azamat Murzakanov,7-0-0,180,205
Nico Musoke,"13-5-0, 1NC",182,170
Magomed Mustafaev,13-2-0,175,155
Max Mustaki,6-2-0,182,155
Keita Nakamura,"33-8-2, 1NC",180,170
Rose Namajunas,9-3-0,165,115
Nad Narimani,11-2-0,172,145
Rafael Natal,21-9-1,182,185
Geoff Neal,9-2-0,180,170
Gunnar Nelson,16-3-1,180,170
Roy Nelson,23-14-0,182,263
Antonio Braga Neto,"9-3-0, 1NC",190,185
Nick Newell,14-1-0,177,155
Francis Ngannou,11-3-0,193,250
Ben Nguyen,17-7-0,165,125
Alex Nicholson,7-4-0,193,185
Matheus Nicolau,13-2-1,162,125
Jaimee Nievera,7-4-0,165,125
Antonio Rogerio No...,22-7-0,187,205
Sage Northcutt,11-2-0,182,170
Amanda Nunes,16-4-0,172,135
Khabib Nurmagomedov,26-0-0,177,155
Said Nurmagomedov,11-1-0,172,125
Kennedy Nzechukwu,3-0-0,195,205
Sean O'Malley,10-0-0,180,135
Volkan Oezdemir,15-2-0,187,205
Yushin Okami,34-12-0,187,170
Aleksei Oleinik,56-11-1,187,240
Michal Oleksiejczuk,13-2-0,182,205
Alex Oliveira,"18-4-1, 2NC",180,170
Charles Oliveira,"23-8-0, 1NC",177,155
Cameron Olson,"8-3-0, 1NC",185,205
Daniel Omielanczuk,"19-8-1, 1NC",182,247
Chibwikem Onyenege...,6-0-0,190,185
Brian Ortega,"14-0-0, 1NC",172,145
Dustin Ortiz,18-7-0,165,125
Rachael Ostovich,4-4-0,160,125
Zak Ottow,16-6-0,180,170
Sidney Outlaw,9-4-0,172,170
Alistair Overeem,"43-17-0, 1NC",193,265
Larissa Pacheco,10-2-0,170,135
Teemu Packalen,8-2-0,185,155
Rick Palacios,9-1-0,167,135
Alexandre Pantoja,19-3-0,165,125
Josh Parisian,7-2-0,193,265
Alan Patrick,15-1-0,180,155
Ross Pearson,"22-14-0, 1NC",172,155
Carlo Pedersoli,11-1-0,180,170
Tyson Pedro,7-1-0,190,205
Julianna Peña,9-3-0,167,135
Luis Pena,5-0-0,190,155
BJ Penn,16-12-2,175,145
Jessica Penne,12-6-0,165,115
Raquel Pennington,9-7-0,170,135
Godofredo Pepey,14-6-0,170,145
Viviane Pereira,13-1-0,152,115
Alejandro Perez,22-6-1,167,135
Alex Perez,20-4-0,167,125
Frankie Perez,10-4-0,180,155
Markus Perez,10-1-0,185,185
Mike Perry,12-3-0,177,170
Steven Peterson,17-7-0,175,145
Peter Petties,5-3-0,175,145
Anthony Pettis,21-7-0,177,155
Sergio Pettis,17-3-0,167,125
John Phillips,"21-6-0, 1NC",180,185
Kyler  Phillips,5-0-0,172,135
Vinc Pichel,11-2-0,177,155
Jamie Pickett,7-2-0,190,185
Oskar Piechota,11-1-1,182,185
Domingo Pilarte,8-1-0,182,135
Maki Pitolo,9-4-0,175,185
Dustin Poirier,"23-5-0, 1NC",175,155
Igor Pokrajac,"25-13-0, 1NC",182,205
Santiago Ponzinibb...,27-3-0,182,170
Devin Powell,8-3-0,182,155
Marcin Prachnio,13-3-0,190,205
Michel Prazeres,25-2-0,167,170
Niko Price,"12-1-0, 1NC",182,170
Joe Proctor,11-5-0,177,170
Lucie Pudilova,8-2-0,172,135
Claudio Puelles,9-2-0,180,155
CM Punk,0-2-0,185,170
Mike Pyle,27-14-1,182,170
Michel Quinones,8-3-0,177,155
Jose Quinonez,8-2-0,172,135
Ricky Rainey,13-5-0,185,170
Aleksandar Rakic,9-1-0,195,205
Davi Ramos,8-2-0,172,155
Ricardo Ramos,11-1-0,175,135
Bec Rawlings,7-8-0,167,125
Stevie Ray,21-7-0,177,155
Greg Rebello,24-8-0,182,226
Karl Reed,2-1-0,190,205
Wilson Reis,22-9-0,162,125
Chance Rencountre,12-3-0,187,170
Marion Reneau,9-4-1,167,135
Alex Reyes,,77,170
Dominick Reyes,9-0-0,193,205
Marco Polo Reyes,7-5-0,180,155
Amanda Ribas,6-1-0,162,115
Jordan Rinaldi,13-6-0,177,155
Diego Rivas,7-2-0,172,145
Jimmie Rivera,21-2-0,162,135
Karl Roberson,6-1-0,185,185
Danny Roberts,16-3-0,185,170
Roosevelt Roberts,5-0-0,185,155
Gillian Robertson,5-2-0,167,125
Luke Rockhold,16-4-0,190,185
Mike Rodriguez,9-3-0,193,205
Yair Rodriguez,11-2-0,180,145
Nick Roehrick,7-1-0,190,205
Yoel Romero,13-3-0,182,185
Mara Romero Borella,"12-5-0, 1NC",167,125
Charles Rosa,11-3-0,175,145
Ben Rothwell,36-10-0,193,265
Khalil Rountree Jr.,"8-2-0, 1NC",185,205
Ronda Rousey,12-2-0,170,135
Mauricio Rua,25-11-0,185,205
Frankie Saenz,13-5-0,167,135
Saparbek Safarov,8-2-0,185,205
Tarec Saffiedine,16-7-0,177,170
Jason Saggo,12-4-0,180,155
Ovince Saint Preux,22-11-0,190,205
Gokhan Saki,1-2-0,182,205
Muslim Salikhov,14-2-0,180,170
Boston Salmon,6-1-0,175,135
Andrew Sanchez,10-4-0,185,185
Diego Sanchez,29-11-0,177,155
Joby Sanchez,11-3-0,167,125
Roberto Sanchez,8-1-0,167,125
Luke Sanders,13-2-0,167,135
Cory Sandhagen,8-1-0,180,145
Hector Sandoval,14-4-0,157,125
Mike Santiago,21-12-0,177,145
Will Santiago,9-5-0,177,185
Leonardo Santos,16-4-1,182,155
Thiago Santos,17-5-0,182,185
Ulka Sasaki,20-5-2,177,125
Ben Saunders,22-9-2,187,170
Matt Sayles,6-1-0,170,145
Matt Schnell,11-4-0,172,125
Justin Scoggins,11-5-0,170,135
Bradley Scott,12-6-0,185,170
Neil Seery,16-13-0,162,125
