,fighter1,fighter2,method,date,event,class
2328,Francis Carmont,Costas Philippou,Decision,"Sep 21, 2013",UFC 165,Middleweight
2329,Khabib Nurmagomedov,Pat Healy,Decision,"Sep 21, 2013",UFC 165,Lightweight
2330,Myles Jury,Mike Ricci,Decision,"Sep 21, 2013",UFC 165,Lightweight
2331,Wilson Reis,Ivan Menjivar,Decision,"Sep 21, 2013",UFC 165,Bantamweight
2332,Stephen Thompson,Chris Clements,KO,"Sep 21, 2013",UFC 165,Welterweight
2333,Mitch Gagnon,Dustin Kimura,Technical Submission,"Sep 21, 2013",UFC 165,Bantamweight
2334,John Makdessi,Renee Forte,KO,"Sep 21, 2013",UFC 165,Lightweight
2335,Michel Prazeres,Jesse Ronson,Decision,"Sep 21, 2013",UFC 165,Lightweight
2336,Alex Caceres,Roland Delorme,Decision,"Sep 21, 2013",UFC 165,Bantamweight
2337,Daniel Omielańczuk,Nandor Guelmino,KO,"Sep 21, 2013",UFC 165,Heavyweight
2338,Glover Teixeira,Ryan Bader,TKO,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Light Heavyweight
2339,Ronaldo Souza,Yushin Okami,TKO,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Middleweight
2340,Joseph Benavidez,Jussier Formiga,TKO,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Flyweight
2341,Piotr Hallmann,Francisco Trinaldo,Submission,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Lightweight
2342,Rafael Natal,Tor Troéng,Decision,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Middleweight
2343,Ali Bagautinov,Marcos Vinicius,TKO,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Flyweight
2344,Kevin Souza,Felipe Arantes,Decision,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Featherweight
2345,Lucas Martins,Junior Hernandez,Technical Submission,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Bantamweight
2346,Elias Silvério,João Zeferino,Decision,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Welterweight
2347,Ivan Jorge,Keith Wisniewski,Decision,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Welterweight
2348,Sean Spencer,Yuri Villefort,Decision,"Sep 4, 2013",UFC Fight Night: Teixeira vs. Bader,Welterweight
2349,Anthony Pettis,Benson Henderson (c),Submission,"Aug 31, 2013",UFC 164,Lightweight
2350,Josh Barnett,Frank Mir,TKO,"Aug 31, 2013",UFC 164,Heavyweight
2351,Chad Mendes,Clay Guida,TKO,"Aug 31, 2013",UFC 164,Featherweight
2352,Ben Rothwell,Brandon Vera,TKO,"Aug 31, 2013",UFC 164,Heavyweight
2353,Dustin Poirier,Erik Koch,Decision,"Aug 31, 2013",UFC 164,Featherweight
2354,Gleison Tibau,Jamie Varner,Decision,"Aug 31, 2013",UFC 164,Lightweight
2355,Tim Elliott,Louis Gaudinot,Decision,"Aug 31, 2013",UFC 164,Flyweight
2356,Hyun Gyu Lim,Pascal Krauss,TKO,"Aug 31, 2013",UFC 164,Welterweight
2357,Chico Camus,Kyung Ho Kang,Decision,"Aug 31, 2013",UFC 164,Bantamweight
2358,Soa Palelei,Nikita Krylov,TKO,"Aug 31, 2013",UFC 164,Heavyweight
2359,Al Iaquinta,Ryan Couture,Decision,"Aug 31, 2013",UFC 164,Lightweight
2360,Magnus Cedenblad,Jared Hamman,Submission,"Aug 31, 2013",UFC 164,Middleweight
2361,Carlos Condit,Martin Kampmann,TKO,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Welterweight
2362,Rafael dos Anjos,Donald Cerrone,Decision,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Lightweight
2363,Kelvin Gastelum,Brian Melancon,Submission,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Welterweight
2364,Court McGee,Robert Whittaker,Decision,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Welterweight
2365,Takeya Mizugaki,Érik Pérez,Decision,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Bantamweight
2366,Brad Tavares,Bubba McDaniel,Decision,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Middleweight
2367,Dylan Andrews,Papy Abedi,TKO,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Middleweight
2368,Brandon Thatch,Justin Edwards,TKO,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Welterweight
2369,Darren Elkins,Hatsu Hioki,Decision,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Featherweight
2370,Jason High,James Head,Submission,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Welterweight
2371,Zak Cummings,Ben Alloway,Submission,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Welterweight
2372,Roger Bowling,Abel Trujillo,No Contest,"Aug 28, 2013",UFC Fight Night: Condit vs. Kampmann 2,Lightweight
2373,Chael Sonnen,Maurício Rua,Submission,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Light Heavyweight
2374,Travis Browne,Alistair Overeem,KO,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Heavyweight
2375,Urijah Faber,Iuri Alcântara,Decision,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Bantamweight
2376,Matt Brown,Mike Pyle,KO,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Welterweight
2377,John Howard,Uriah Hall,Decision,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Middleweight
2378,Michael Johnson,Joe Lauzon,Decision,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Lightweight
2379,Michael McDonald,Brad Pickett,Submission,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Bantamweight
2380,Conor McGregor,Max Holloway,Decision,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Featherweight
2381,Steven Siler,Mike Brown,KO,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Featherweight
2382,Diego Brandao,Daniel Pineda,Decision,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Featherweight
2383,Manvel Gamburyan,Cole Miller,Decision,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Featherweight
2384,Ovince Saint Preux,Cody Donovan,KO,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Light Heavyweight
2385,James Vick,Ramsey Nijem,Submission,"Aug 17, 2013",UFC Fight Night: Shogun vs. Sonnen,Lightweight
2386,José Aldo (c),Chan Sung Jung,TKO,"Aug 3, 2013",UFC 163,Featherweight
2387,Phil Davis,Lyoto Machida,Decision,"Aug 3, 2013",UFC 163,Light Heavyweight
2388,Cezar Ferreira,Thiago Santos,Submission,"Aug 3, 2013",UFC 163,Middleweight
2389,Thales Leites,Tom Watson,Decision,"Aug 3, 2013",UFC 163,Middleweight
2390,John Lineker,José Maria Tomé,TKO,"Aug 3, 2013",UFC 163,Catchweight
2391,Anthony Perosh,Vinny Magalhães,KO,"Aug 3, 2013",UFC 163,Light Heavyweight
2392,Amanda Nunes,Sheila Gaff,TKO,"Aug 3, 2013",UFC 163,Women's Bantamweight
2393,Sérgio Moraes,Neil Magny,Submission,"Aug 3, 2013",UFC 163,Welterweight
2394,Ian McCall,Iliarde Santos,Decision,"Aug 3, 2013",UFC 163,Flyweight
2395,Rani Yahya,Josh Clopton,Decision,"Aug 3, 2013",UFC 163,Featherweight
2396,Francimar Barroso,Ednaldo Oliveira,Decision,"Aug 3, 2013",UFC 163,Light Heavyweight
2397,Viscardi Andrade,Bristol Marunde,TKO,"Aug 3, 2013",UFC 163,Welterweight
2398,Demetrious Johnson (c),John Moraga,Submission,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Flyweight
2399,Rory MacDonald,Jake Ellenberger,Decision,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Welterweight
2400,Robbie Lawler,Bobby Voelker,KO,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Welterweight
2401,Liz Carmouche,Jéssica Andrade,TKO,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Women's Bantamweight
2402,Jorge Masvidal,Michael Chiesa,Submission,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Lightweight
2403,Danny Castillo,Tim Means,Decision,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Catchweight
2404,Melvin Guillard,Mac Danzig,KO,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Lightweight
2405,Daron Cruickshank,Yves Edwards,Decision,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Lightweight
2406,Ed Herman,Trevor Smith,Decision,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Middleweight
2407,Germaine de Randamie,Julie Kedzie,Decision,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Women's Bantamweight
2408,Justin Salas,Aaron Riley,Decision,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Lightweight
2409,Yaotzin Meza,John Albert,Submission,"Jul 27, 2013",UFC on Fox: Johnson vs. Moraga,Catchweight
2410,Chris Weidman,Anderson Silva (c),KO,"Jul 6, 2013",UFC 162,Middleweight
2411,Frankie Edgar,Charles Oliveira,Decision,"Jul 6, 2013",UFC 162,Featherweight
2412,Tim Kennedy,Roger Gracie,Decision,"Jul 6, 2013",UFC 162,Middleweight
2413,Mark Muñoz,Tim Boetsch,Decision,"Jul 6, 2013",UFC 162,Middleweight
2414,Cub Swanson,Dennis Siver,TKO,"Jul 6, 2013",UFC 162,Featherweight
2415,Andrew Craig,Chris Leben,Decision,"Jul 6, 2013",UFC 162,Middleweight
2416,Norman Parke,Kazuki Tokudome,Decision,"Jul 6, 2013",UFC 162,Lightweight
2417,Gabriel Gonzaga,Dave Herman,TKO,"Jul 6, 2013",UFC 162,Heavyweight
2418,Edson Barboza,Rafaello Oliveira,TKO,"Jul 6, 2013",UFC 162,Lightweight
2419,Brian Melancon,Seth Baczynski,KO,"Jul 6, 2013",UFC 162,Welterweight
2420,Mike Pierce,David Mitchell,TKO,"Jul 6, 2013",UFC 162,Welterweight
2421,Rashad Evans,Dan Henderson,Decision,"Jun 15, 2013",UFC 161,Light Heavyweight
2422,Stipe Miocic,Roy Nelson,Decision,"Jun 15, 2013",UFC 161,Heavyweight
2423,Ryan Jimmo,Igor Pokrajac,Decision,"Jun 15, 2013",UFC 161,Light Heavyweight
2424,Alexis Davis,Rosi Sexton,Decision,"Jun 15, 2013",UFC 161,Women's Bantamweight
2425,Shawn Jordan,Pat Barry,TKO,"Jun 15, 2013",UFC 161,Heavyweight
2426,Jake Shields,Tyron Woodley,Decision,"Jun 15, 2013",UFC 161,Welterweight
2427,James Krause,Sam Stout,Submission,"Jun 15, 2013",UFC 161,Lightweight
2428,Sean Pierson,Kenny Robertson,Decision,"Jun 15, 2013",UFC 161,Welterweight
2429,Roland Delorme,Edwin Figueroa,Decision,"Jun 15, 2013",UFC 161,Bantamweight
2430,Mitch Clarke,John Maguire,Decision,"Jun 15, 2013",UFC 161,Lightweight
2431,Yves Jabouin,Dustin Pague,Decision,"Jun 15, 2013",UFC 161,Bantamweight
2432,Fabrício Werdum,Antônio Rodrigo Nogueira,Submission,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Heavyweight
2433,Leonardo Santos,William Macário,Submission,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Welterweight
2434,Thiago Silva,Rafael Cavalcante,KO,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Light Heavyweight
2435,Erick Silva,Jason High,Submission,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Welterweight
2436,Daniel Sarafian,Eddie Mendez,Submission,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Middleweight
2437,Rony Mariano Bezerra,Mike Wilkinson,Technical Submission,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Featherweight
2438,Raphael Assunção,Vaughan Lee,Submission,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Bantamweight
2439,Felipe Arantes,Godofredo Pepey,TKO,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Featherweight
2440,Ildemar Alcantara,Leandro Silva,Decision,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Welterweight
2441,Rodrigo Damm,Mizuto Hirota,Decision,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Featherweight
2442,Caio Magalhaes,Karlos Vemola,Submission,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Middleweight
2443,Antônio Braga Neto,Anthony Smith,Submission,"Jun 8, 2013",The Ultimate Fighter: Brazil 2#The Ultimate Fighter: Brazil 2 Finale,Middleweight
2444,Cain Velasquez (c),Antônio Silva,TKO,"May 25, 2013",UFC 160,Heavyweight
2445,Junior dos Santos,Mark Hunt,KO,"May 25, 2013",UFC 160,Heavyweight
2446,Glover Teixeira,James Te Huna,Submission,"May 25, 2013",UFC 160,Light Heavyweight
2447,TJ Grant,Gray Maynard,TKO,"May 25, 2013",UFC 160,Lightweight
2448,Donald Cerrone,K.J. Noons,Decision,"May 25, 2013",UFC 160,Lightweight
2449,Mike Pyle,Rick Story,Decision,"May 25, 2013",UFC 160,Welterweight
2450,Dennis Bermudez,Max Holloway,Decision,"May 25, 2013",UFC 160,Featherweight
2451,Robert Whittaker,Colton Smith,TKO,"May 25, 2013",UFC 160,Welterweight
2452,Khabib Nurmagomedov,Abel Trujillo,Decision,"May 25, 2013",UFC 160,Catchweight
2453,Stephen Thompson,Nah-Shon Burrell,Decision,"May 25, 2013",UFC 160,Welterweight
2454,George Roop,Brian Bowles,TKO,"May 25, 2013",UFC 160,Bantamweight
2455,Jeremy Stephens,Estevan Payan,Decision,"May 25, 2013",UFC 160,Featherweight
2456,Vitor Belfort,Luke Rockhold,KO,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Middleweight
2457,Ronaldo Souza,Chris Camozzi,Technical Submission,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Middleweight
2458,Rafael dos Anjos,Evan Dunham,Decision,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Lightweight
2459,Rafael Natal,João Zeferino,Decision,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Middleweight
2460,Nik Lentz,Hacran Dias,Decision,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Featherweight
2461,Francisco Trinaldo,Mike Rio,Submission,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Lightweight
2462,Gleison Tibau,John Cholish,Submission,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Lightweight
2463,Paulo Thiago,Michel Prazeres,Decision,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Welterweight
2464,Iuri Alcântara,Iliarde Santos,TKO,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Bantamweight
2465,Fabio Maldonado,Roger Hollett,Decision,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Light Heavyweight
2466,John Lineker,Azamat Gashimov,TKO,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Flyweight
2467,Jussier Formiga,Chris Cariaso,Decision,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Flyweight
2468,Lucas Martins,Jeremy Larsen,KO,"May 18, 2013",UFC on FX: Belfort vs. Rockhold,Lightweight
2469,Jon Jones (c),Chael Sonnen,TKO,"Apr 27, 2013",UFC 159,Light Heavyweight
2470,Michael Bisping,Alan Belcher,Decision,"Apr 27, 2013",UFC 159,Middleweight
2471,Roy Nelson,Cheick Kongo,KO,"Apr 27, 2013",UFC 159,Heavyweight
2472,Phil Davis,Vinny Magalhaes,Decision,"Apr 27, 2013",UFC 159,Light Heavyweight
2473,Pat Healy,Jim Miller,No Contest,"Apr 27, 2013",UFC 159,Lightweight
2474,Rustam Khabilov,Yancy Medeiros,TKO,"Apr 27, 2013",UFC 159,Lightweight
2475,Ovince Saint Preux,Gian Villante,Decision,"Apr 27, 2013",UFC 159,Light Heavyweight
2476,Sara McMann,Sheila Gaff,TKO,"Apr 27, 2013",UFC 159,Women's Bantamweight
2477,Bryan Caraway,Johnny Bedford,Submission,"Apr 27, 2013",UFC 159,Bantamweight
2478,Cody McKenzie,Leonard Garcia,Decision,"Apr 27, 2013",UFC 159,Featherweight
2479,Steven Siler,Kurt Holobaugh,Decision,"Apr 27, 2013",UFC 159,Featherweight
2480,Urijah Faber,Scott Jorgensen,Submission,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Bantamweight
2481,Kelvin Gastelum,Uriah Hall,Decision,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Middleweight
2482,Cat Zingano,Miesha Tate,TKO,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Women's Bantamweight
2483,Travis Browne,Gabriel Gonzaga,KO,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Heavyweight
2484,Bubba McDaniel,Gilbert Smith,Submission,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Middleweight
2485,Josh Samman,Kevin Casey,TKO,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Middleweight
2486,Luke Barnatt,Collin Hart,Decision,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Middleweight
2487,Dylan Andrews,Jimmy Quinlan,TKO,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Middleweight
2488,Clint Hester,Bristol Marunde,TKO,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Middleweight
2489,Cole Miller,Bart Palaszewski,Submission,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Featherweight
2490,Maximo Blanco,Sam Sicilia,Decision,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Featherweight
2491,Daniel Pineda,Justin Lawrence,Submission,"Apr 13, 2013",The Ultimate Fighter: Team Jones vs. Team Sonnen#The Ultimate Fighter 17 Finale,Featherweight
2492,Gegard Mousasi,Ilir Latifi,Decision,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Light Heavyweight
2493,Ross Pearson,Ryan Couture,TKO,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Lightweight
2494,Matt Mitrione,Phil De Fries,KO,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Heavyweight
2495,Brad Pickett,Mike Easton,Decision,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Bantamweight
2496,Diego Brandão,Pablo Garza,Submission,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Featherweight
2497,Akira Corassani,Robbie Peralta,Decision,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Featherweight
2498,Reza Madadi,Michael Johnson,Submission,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Lightweight
2499,Tor Troéng,Adam Cella,Submission,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Middleweight
2500,Adlan Amagov,Chris Spång,Decision,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Welterweight
2501,Conor McGregor,Marcus Brimage,TKO,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Featherweight
2502,Ryan LaFlare,Ben Alloway,Decision,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Welterweight
2503,Tom Lawlor,Michael Kuiper,Submission,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Middleweight
2504,Papy Abedi,Besam Yousef,Decision,"Apr 6, 2013",UFC on Fuel TV: Mousasi vs. Latifi,Welterweight
2505,Georges St-Pierre (c),Nick Diaz,Decision,"Mar 16, 2013",UFC 158,Welterweight
2506,Johny Hendricks,Carlos Condit,Decision,"Mar 16, 2013",UFC 158,Welterweight
2507,Jake Ellenberger,Nate Marquardt,KO,"Mar 16, 2013",UFC 158,Welterweight
2508,Chris Camozzi,Nick Ring,Decision,"Mar 16, 2013",UFC 158,Middleweight
2509,Mike Ricci,Colin Fletcher,Decision,"Mar 16, 2013",UFC 158,Lightweight
2510,Patrick Côté,Bobby Voelker,Decision,"Mar 16, 2013",UFC 158,Welterweight
2511,Darren Elkins,Antonio Carvalho,TKO,"Mar 16, 2013",UFC 158,Featherweight
2512,Jordan Mein,Dan Miller,TKO,"Mar 16, 2013",UFC 158,Welterweight
2513,John Makdessi,Daron Cruickshank,Decision,"Mar 16, 2013",UFC 158,Lightweight
2514,Rick Story,Quinn Mulhern,TKO,"Mar 16, 2013",UFC 158,Welterweight
2515,T.J. Dillashaw,Issei Tamura,KO,"Mar 16, 2013",UFC 158,Bantamweight
2516,George Roop,Reuben Duran,Decision,"Mar 16, 2013",UFC 158,Bantamweight
2517,Wanderlei Silva,Brian Stann,KO,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Light Heavyweight
2518,Mark Hunt,Stefan Struve,TKO,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Heavyweight
2519,Diego Sanchez,Takanori Gomi,Decision,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Catchweight
2520,Yushin Okami,Hector Lombard,Decision,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Middleweight
2521,Rani Yahya,Mizuto Hirota,Decision,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Featherweight
2522,Dong Hyun Kim,Siyar Bahadurzada,Decision,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Welterweight
2523,Brad Tavares,Riki Fukuda,Decision,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Middleweight
2524,Takeya Mizugaki,Bryan Caraway,Decision,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Bantamweight
2525,Kazuki Tokudome,Cristiano Marcello,Decision,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Lightweight
2526,Alex Caceres,Kyung Ho Kang,No Contest,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Bantamweight
2527,Hyun Gyu Lim,Marcelo Guimarães,KO,"Mar 3, 2013",UFC on Fuel TV: Silva vs. Stann,Welterweight
2528,Ronda Rousey (c),Liz Carmouche,Submission,"Feb 23, 2013",UFC 157,Women's Bantamweight
2529,Lyoto Machida,Dan Henderson,Decision,"Feb 23, 2013",UFC 157,Light Heavyweight
2530,Urijah Faber,Ivan Menjivar,Submission,"Feb 23, 2013",UFC 157,Bantamweight
2531,Court McGee,Josh Neer,Decision,"Feb 23, 2013",UFC 157,Welterweight
2532,Robbie Lawler,Josh Koscheck,TKO,"Feb 23, 2013",UFC 157,Welterweight
2533,Brendan Schaub,Lavar Johnson,Decision,"Feb 23, 2013",UFC 157,Heavyweight
2534,Michael Chiesa,Anton Kuivanen,Submission,"Feb 23, 2013",UFC 157,Lightweight
2535,Dennis Bermudez,Matt Grice,Decision,"Feb 23, 2013",UFC 157,Featherweight
2536,Sam Stout,Caros Fodor,Decision,"Feb 23, 2013",UFC 157,Lightweight
2537,Kenny Robertson,Brock Jardine,Submission,"Feb 23, 2013",UFC 157,Welterweight
2538,Neil Magny,Jon Manley,Decision,"Feb 23, 2013",UFC 157,Welterweight
2539,Nah-Shon Burrell,Yuri Villefort,Decision,"Feb 23, 2013",UFC 157,Catchweight
2540,Renan Barão (ic),Michael McDonald,Submission,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Bantamweight
2541,Cub Swanson,Dustin Poirier,Decision,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Featherweight
2542,Jimi Manuwa,Cyrille Diabaté,TKO,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Light Heavyweight
2543,Gunnar Nelson,Jorge Santiago,Decision,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Welterweight
2544,James Te Huna,Ryan Jimmo,Decision,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Light Heavyweight
2545,Matthew Riddle,Che Mills,No Contest,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Welterweight
2546,Renee Forte,Terry Etim,Decision,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Lightweight
2547,Danny Castillo,Paul Sass,Decision,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Lightweight
2548,Andy Ogle,Josh Grispi,Decision,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Featherweight
2549,Tom Watson,Stanislav Nedkov,TKO,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Middleweight
2550,Vaughan Lee,Motonobu Tezuka,Decision,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Bantamweight
2551,Phil Harris,Ulysses Gomez,Decision,"Feb 16, 2013",UFC on Fuel TV: Barao vs. McDonald,Flyweight
2552,José Aldo (c),Frankie Edgar,Decision,"Feb 2, 2013",UFC 156,Featherweight
2553,Antônio Rogério Nogueira,Rashad Evans,Decision,"Feb 2, 2013",UFC 156,Light Heavyweight
2554,Antônio Silva,Alistair Overeem,KO,"Feb 2, 2013",UFC 156,Heavyweight
2555,Demian Maia,Jon Fitch,Decision,"Feb 2, 2013",UFC 156,Welterweight
2556,Joseph Benavidez,Ian McCall,Decision,"Feb 2, 2013",UFC 156,Flyweight
2557,Evan Dunham,Gleison Tibau,Decision,"Feb 2, 2013",UFC 156,Lightweight
2558,Tyron Woodley,Jay Hieron,KO,"Feb 2, 2013",UFC 156,Welterweight
2559,Bobby Green,Jacob Volkmann,Submission,"Feb 2, 2013",UFC 156,Lightweight
2560,Isaac Vallie-Flagg,Yves Edwards,Decision,"Feb 2, 2013",UFC 156,Lightweight
2561,Dustin Kimura,Chico Camus,Submission,"Feb 2, 2013",UFC 156,Catchweight
2562,Francisco Rivera,Edwin Figueroa,TKO,"Feb 2, 2013",UFC 156,Bantamweight
2563,Demetrious Johnson (c),John Dodson,Decision,"Jan 26, 2013",UFC on Fox: Johnson vs. Dodson,Flyweight
2564,Glover Teixeira,Quinton Jackson,Decision,"Jan 26, 2013",UFC on Fox: Johnson vs. Dodson,Light Heavyweight
2565,Anthony Pettis,Donald Cerrone,TKO,"Jan 26, 2013",UFC on Fox: Johnson vs. Dodson,Lightweight
2566,Ricardo Lamas,Erik Koch,TKO,"Jan 26, 2013",UFC on Fox: Johnson vs. Dodson,Featherweight
2567,TJ Grant,Matt Wiman,KO,"Jan 26, 2013",UFC on Fox: Johnson vs. Dodson,Lightweight
2568,Clay Guida,Hatsu Hioki,Decision,"Jan 26, 2013",UFC on Fox: Johnson vs. Dodson,Featherweight
