Name,Record,Height,Weight
Te Edwards,6-1-0,172,155
Rafael Fiziev,5-0-0,172,155
Takanori Gomi,"35-14-0, 1NC",172,155
Chris Gruetzemacher,14-3-0,172,155
Rustam Khabilov,21-3-0,172,155
Drakkar Klose,9-1-1,172,155
Nik Lentz,"30-9-2, 1NC",172,155
John  Makdessi,15-6-0,172,155
Jim Miller,"28-11-0, 1NC",172,155
Ross Pearson,"22-14-0, 1NC",172,155
Davi Ramos,8-2-0,172,155
Joaquim Silva,10-1-0,172,155
Devonte Smith,7-1-0,172,155
Abel Trujillo,"15-8-0, 1NC",172,155
Austin Tweedy,8-2-0,172,155
Tiequan Zhang,18-4-0,172,155
Eddie Alvarez,"29-5-0, 1NC",175,155
Olivier Aubin-Merc...,12-2-0,175,155
Tae Hyun Bang,18-10-0,175,155
Frank Camacho,21-6-0,175,155
Joe Ellenberger,15-2-0,175,155
Diego Ferreira,13-2-0,175,155
Matt Frevola,6-0-0,175,155
Gregor Gillespie,12-0-0,175,155
Jared Gordon,14-2-0,175,155
Garrett Gross,11-6-0,175,155
John Gunther,7-1-0,175,155
Damir Hadzovic,12-4-0,175,155
Marcin Held,23-7-0,175,155
Alexander Hernandez,9-1-0,175,155
Scott Holtzman,11-2-0,175,155
Al Iaquinta,13-4-1,175,155
Kevin Lee,16-4-0,175,155
Rashid Magomedov,20-2-0,175,155
Conor McGregor,21-3-0,175,155
Gilbert Melendez,22-7-0,175,155
Alex Munoz,4-0-0,175,155
Magomed Mustafaev,13-2-0,175,155
Dustin Poirier,"23-5-0, 1NC",175,155
Richie Smullen,3-1-1,175,155
Mairbek Taisumov,26-5-0,175,155
David Teymur,8-1-0,175,155
Francisco Trinaldo,22-6-0,175,155
Lando Vannata,9-3-1,175,155
Will Brooks,18-4-0,177,155
Damien Brown,17-12-0,177,155
Gilbert Burns,14-3-0,177,155
Johnny Case,22-6-0,177,155
Mitch Clarke,11-5-0,177,155
Beneil Dariush,14-4-1,177,155
Marc Diakiese,12-3-0,177,155
Joe Duffy,16-3-0,177,155
Evan Dunham,18-7-1,177,155
Thibault Gouti,12-4-0,177,155
Bobby Green,24-8-1,177,155
Desmond Green,21-7-0,177,155
Nasrat Haqparast,9-2-0,177,155
Darrell Horcher,13-3-0,177,155
Michael Johnson,18-12-0,177,155
Erik Koch,15-6-0,177,155
Joe Lauzon,27-16-0,177,155
Joseph Lowry,7-0-0,177,155
Islam Makhachev,15-1-0,177,155
Adriano Martins,28-9-0,177,155
Nick Newell,14-1-0,177,155
Khabib Nurmagomedov,26-0-0,177,155
Charles Oliveira,"23-8-0, 1NC",177,155
Anthony Pettis,21-7-0,177,155
Vinc Pichel,11-2-0,177,155
Michel Quinones,8-3-0,177,155
Stevie Ray,21-7-0,177,155
Jordan Rinaldi,13-6-0,177,155
Diego Sanchez,29-11-0,177,155
Gleison Tibau,40-14-0,177,155
Matt Wiman,16-7-0,177,155
Edson  Barboza,19-5-0,180,155
Paul Felder,15-4-0,180,155
Tony Ferguson,25-3-0,180,155
Justin Gaethje,18-2-0,180,155
Andrew Holbrook,12-2-0,180,155
Kajan Johnson,22-12-1,180,155
Dong Hyun Kim,16-8-3,180,155
Mickael Lebout,"14-5-1, 1NC",180,155
Reza Madadi,14-6-0,180,155
Alan Patrick,15-1-0,180,155
Frankie Perez,10-4-0,180,155
Claudio Puelles,9-2-0,180,155
Marco Polo Reyes,7-5-0,180,155
Jason Saggo,12-4-0,180,155
Michael Trizano,8-0-0,180,155
Jon Tuck,10-4-0,180,155
Luke Flores,7-1-0,182,155
Joe Giannetti,7-1-0,182,155
Dan Hooker,18-7-0,182,155
Don Madge,7-1-0,182,155
Tony Martin,12-4-0,182,155
Dan Moret,13-5-0,182,155
Max Mustaki,6-2-0,182,155
Devin Powell,8-3-0,182,155
Leonardo Santos,16-4-1,182,155
Felipe Silva,8-2-0,182,155
Alex White,12-3-0,182,155
Michael Chiesa,14-4-0,185,155
Michael McBride,8-3-0,185,155
Teemu Packalen,8-2-0,185,155
Roosevelt Roberts,5-0-0,185,155
Jason Gonzalez,11-4-0,187,155
James Krause,23-8-0,187,155
Luis Pena,5-0-0,190,155
Jalin Turner,6-3-0,190,155
James Vick,13-1-0,190,155
Michel Prazeres,25-2-0,167,170
Shinsho Anzai,10-2-0,170,170
Drew Dober,"19-8-0, 1NC",172,170
Rafael Dos Anjos,28-10-0,172,170
Sidney Outlaw,9-4-0,172,170
Thiago Alves,27-12-0,175,170
Jake Ellenberger,31-14-0,175,170
Alex Garcia,15-4-0,175,170
Tyron Woodley,18-3-1,175,170
Yoshihiro Akiyama,"14-6-0, 2NC",177,170
Abdul Razak Alhass...,9-1-0,177,170
Joshua Burkman,"29-17-0, 1NC",177,170
Nathan Coy,15-7-0,177,170
Chris Curtis,19-5-0,177,170
Tom Gallicchio,19-11-0,177,170
Adam Khaliev,6-0-0,177,170
Kiichi Kunimoto,"19-6-2, 1NC",177,170
Chad Laprise,14-3-0,177,170
Yancy Medeiros,"15-5-0, 1NC",177,170
Mike Perry,12-3-0,177,170
Joe Proctor,11-5-0,177,170
Tarec Saffiedine,16-7-0,177,170
Dominique Steele,14-9-0,177,170
Salim Touahri,10-2-0,177,170
Jimmy Wallhead,29-11-0,177,170
Daichi Abe,6-1-0,180,170
Hector Aldana,4-0-0,180,170
Warlley Alves,13-2-0,180,170
Siyar Bahadurzada,23-6-1,180,170
Michael Cora,4-2-0,180,170
Colby Covington,14-1-0,180,170
Max Griffin,14-5-0,180,170
Luke Jumeau,13-4-0,180,170
Robbie Lawler,"28-12-0, 1NC",180,170
Vicente Luque,13-6-1,180,170
Jorge Masvidal,32-13-0,180,170
Jake Matthews,13-3-0,180,170
Court McGee,19-6-1,180,170
Emil Meek,"9-4-1, 1NC",180,170
Alex Morono,"14-4-0, 1NC",180,170
Belal Muhammad,14-2-0,180,170
Keita Nakamura,"33-8-2, 1NC",180,170
Geoff Neal,9-2-0,180,170
Gunnar Nelson,16-3-1,180,170
Alex Oliveira,"18-4-1, 2NC",180,170
Zak Ottow,16-6-0,180,170
Carlo Pedersoli,11-1-0,180,170
Muslim Salikhov,14-2-0,180,170
Claudio Silva,11-1-0,180,170
Austin Vanderford,4-0-0,180,170
Charlie Ward,3-3-0,180,170
Elizeu Zaleski dos...,19-5-0,180,170
Sultan Aliev,14-3-0,182,170
Jessin Ayari,16-4-0,182,170
Bryan Barberena,13-5-0,182,170
Matt Brown,23-16-0,182,170
Luan Chagas,15-2-1,182,170
Zak Cummings,21-6-0,182,170
Nate Diaz,20-11-0,182,170
Leon Edwards,16-3-0,182,170
Oliver Enkamp,7-1-0,182,170
Lyman Good,"19-4-0, 1NC",182,170
Dan Hardy,"25-10-0, 1NC",182,170
Alvaro Herrera,9-5-0,182,170
Sabah Homasi,11-8-0,182,170
Li Jingliang,14-5-0,182,170
Alan Jouban,16-6-0,182,170
Song Kenan,13-4-0,182,170
Jack Marshman,22-7-0,182,170
Jordan Mein,30-12-0,182,170
Alberto Mina,13-1-0,182,170
Sergio Moraes,13-4-1,182,170
Nico Musoke,"13-5-0, 1NC",182,170
Sage Northcutt,11-2-0,182,170
Santiago Ponzinibb...,27-3-0,182,170
Niko Price,"12-1-0, 1NC",182,170
Mike Pyle,27-14-1,182,170
Erick Silva,"19-9-0, 1NC",182,170
Peter Sobotta,17-5-1,182,170
Kyle Stewart,8-0-0,182,170
George Sullivan,"17-6-0, 1NC",182,170
Stephen Thompson,14-3-1,182,170
Darren Till,17-0-1,182,170
Kamaru Usman,13-1-0,182,170
Bojan Velickovic,15-6-1,182,170
David Zawada,16-4-0,182,170
Donald Cerrone,"33-11-0, 1NC",185,170
Dwight Grant,7-1-0,185,170
John Hathaway,17-2-0,185,170
Jason Jackson,7-3-0,185,170
Pascal Krauss,11-2-0,185,170
Ryan LaFlare,13-2-0,185,170
Demian Maia,25-9-0,185,170
CM Punk,0-2-0,185,170
Ricky Rainey,13-5-0,185,170
Danny Roberts,16-3-0,185,170
Bradley Scott,12-6-0,185,170
Sean Strickland,19-3-1,185,170
Nordine Taleb,14-5-0,185,170
Sheldon Westcott,10-3-1,185,170
Brian Camozzi,7-5-0,187,170
Carlos Condit,30-12-0,187,170
Mickey Gall,4-1-0,187,170
Mike Jackson,1-1-0,187,170
Dong Hyun Kim,"22-4-1, 1NC",187,170
Dhiego Lima,14-7-0,187,170
Tim Means,"27-10-1, 1NC",187,170
Yushin Okami,34-12-0,187,170
Chance Rencountre,12-3-0,187,170
Ben Saunders,22-9-2,187,170
Craig White,14-8-0,187,170
Randy Brown,10-3-0,190,170
Hyun Gyu Lim,13-7-1,190,170
Neil Magny,21-7-0,190,170
Jonathan Meunier,8-1-0,190,170
Curtis Millender,16-3-0,190,170
Alexander Yakovlev,23-8-1,190,170
Tyler Hill,6-1-0,193,170
Kelvin Gastelum,"16-3-0, 1NC",175,185
Johny Hendricks,18-8-0,175,185
Hector Lombard,"34-9-1, 2NC",175,185
Maki Pitolo,9-4-0,175,185
Abu Azaitar,"14-1-1, 1NC",177,185
Charles Byrd,9-4-0,177,185
Ramazan Emeev,17-3-0,177,185
Will Santiago,9-5-0,177,185
Ian Heinisch,10-1-0,180,185
Justin Jones,9-2-0,180,185
John Phillips,"21-6-0, 1NC",180,185
Georges St-Pierre,26-2-0,180,185
Randall Wallace,15-7-0,180,185
Omari Akhmedov,17-4-1,182,185
Vitor Belfort,"26-14-0, 1NC",182,185
Keith Berish,"5-1-0, 1NC",182,185
Tim Boetsch,21-12-0,182,185
Alessio Di Chirico,12-2-0,182,185
Nick Diaz,"26-10-0, 1NC",182,185
Bartosz Fabinski,14-2-0,182,185
Trevin Giles,11-0-0,182,185
Marcelo Guimaraes,9-2-1,182,185
Uriah Hall,14-9-0,182,185
Anthony Hernandez,6-0-0,182,185
Antonio Jones,7-0-0,182,185
Daniel Kelly,13-4-0,182,185
Rafael Natal,21-9-1,182,185
Oskar Piechota,11-1-1,182,185
Yoel Romero,13-3-0,182,185
Thiago Santos,17-5-0,182,185
Darren Stewart,"8-3-0, 1NC",182,185
Andrew Todhunter,8-0-0,182,185
Marvin Vettori,12-4-1,182,185
Robert Whittaker,21-4-0,182,185
Jordan Williams,8-2-0,182,185
Eryk Anders,10-1-0,185,185
Michael Bisping,31-9-0,185,185
David Branch,21-4-0,185,185
Derek Brunson,18-6-0,185,185
Tim Caron,9-2-0,185,185
Gabriel Checco,10-2-0,185,185
Paulo Costa,12-0-0,185,185
Cezar Ferreira,14-6-0,185,185
Phillip Hawes,4-2-0,185,185
Jack Hermansson,17-4-0,185,185
Krzysztof Jotko,19-5-0,185,185
Thales Leites,27-9-0,185,185
Gerald Meerschaert,28-9-0,185,185
Vitor Miranda,13-7-0,185,185
Markus Perez,10-1-0,185,185
Karl Roberson,6-1-0,185,185
Andrew Sanchez,10-4-0,185,185
Ronaldo Souza,"25-6-0, 1NC",185,185
Eric Spicely,10-5-0,185,185
Brad Tavares,17-6-0,185,185
Jesse Taylor,32-15-0,185,185
Elias Theodorou,16-2-0,185,185
Chase Waldon,11-3-0,185,185
Jordan Wright,9-0-0,185,185
Chris Camozzi,24-13-0,187,185
Antonio Carlos Jun...,"11-2-0, 1NC",187,185
Alton Cunningham,5-0-0,187,185
CB Dollaway,18-9-0,187,185
