,First,Last,Nickname,Ht,Wt,Reach,Stance,Win,Loss,Draw,Total Fights,Wt_numeric,Htcm
1406,Will,Santiago,The Brown Bomber,"5' 7""",185 lbs.,--,Orthodox,9,4,0,13,185,170.18
1407,Mike,Chandler,,"5' 8""",155 lbs.,--,,9,4,0,13,155,172.72
1408,Roland,Delorme,,"5' 9""",135 lbs.,"71.0""",Orthodox,9,4,0,13,135,175.26
1409,Len,Bentley,,"5' 9""",155 lbs.,--,,9,4,0,13,155,175.26
1410,Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,9,4,0,13,155,175.26
1411,Charlie,Kohler,,"5' 9""",155 lbs.,--,Orthodox,8,4,1,13,155,175.26
1412,Mike,Ricci,The Martian,"6' 0""",155 lbs.,"77.0""",Southpaw,9,4,0,13,155,182.88
1413,Eric,Lawson,,"6' 0""",185 lbs.,--,Orthodox,9,4,0,13,185,182.88
1414,Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,13,265,182.88
1415,Andrew,Craig,Highlight,"6' 1""",170 lbs.,"76.0""",Orthodox,9,4,0,13,170,185.42
1416,James,Head,,"6' 1""",170 lbs.,"73.0""",Orthodox,9,4,0,13,170,185.42
1417,Rob,Yundt,Monster,"6' 1""",185 lbs.,--,Orthodox,9,4,0,13,185,185.42
1418,Oli,Thompson,,"6' 1""",242 lbs.,"75.0""",Orthodox,9,4,0,13,265,185.42
1419,Chuck,O'Neil,Cold Steel,"6' 2""",170 lbs.,--,,9,4,0,13,170,187.96
1420,Mu Bae,Choi,,"6' 2""",230 lbs.,--,Orthodox,9,4,0,13,265,187.96
1421,Lorenzo,Hood,The Samoan Silverback,"6' 3""",265 lbs.,--,,9,4,0,13,265,190.5
1422,Edson,Drago,,"6' 4""",220 lbs.,--,Orthodox,9,4,0,13,265,193.04
1424,Josh,LaBerge,,"5' 10""",145 lbs.,--,,8,5,0,13,145,177.8
1425,Jeremy,Larsen,,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,0,13,145,177.8
1426,Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0,13,155,180.34
1427,Polo,Reyes,El Toro,"5' 11""",155 lbs.,"71.0""",,8,5,0,13,155,180.34
1428,Kaline,Medeiros,The Dark Angel,"5' 3""",115 lbs.,--,,8,5,0,13,115,160.02
1429,Philip,Perez,,"5' 5""",155 lbs.,--,Southpaw,7,5,1,13,155,165.1
1430,Jon,Delos Reyes,The Heat,"5' 6""",125 lbs.,"67.0""",Orthodox,8,5,0,13,125,167.64000000000001
1431,Darren,Uyenoyama,BC,"5' 6""",125 lbs.,"64.0""",Orthodox,8,5,0,13,125,167.64000000000001
1432,Jeimeson,Saudino,The Minion,"5' 6""",135 lbs.,--,,8,5,0,13,135,167.64000000000001
1433,Rolando,Perez,,"5' 8""",135 lbs.,--,Orthodox,6,5,2,13,135,172.72
1434,Gil,Castillo,,"5' 9""",170 lbs.,--,Southpaw,8,5,0,13,170,175.26
1435,Erick,Montano,Perry,"6' 0""",170 lbs.,"73.0""",Orthodox,8,5,0,13,170,182.88
1436,Marcelo,Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,8,5,0,13,170,185.42
1437,Charlie,Ontiveros,The American Bad Boy,"6' 2""",170 lbs.,--,,8,5,0,13,170,187.96
1438,Alex,Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,0,13,170,187.96
1439,Jay,Silva,,"6' 2""",185 lbs.,--,Southpaw,7,5,1,13,185,187.96
1440,Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",,8,5,0,13,205,187.96
1441,Mike,van Arsdale,,"6' 2""",205 lbs.,--,Switch,8,5,0,13,205,187.96
1442,Tra,Telligman,Trauma,"6' 2""",233 lbs.,--,Orthodox,7,5,1,13,265,187.96
1443,Christian,Wellisch,The Hungarian Nightmare,"6' 2""",234 lbs.,"77.0""",Orthodox,8,5,0,13,265,187.96
1444,Cody,Donovan,Donnybrook,"6' 3""",205 lbs.,"74.0""",Orthodox,8,5,0,13,205,190.5
1445,Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,8,5,0,13,265,190.5
1446,Derek,Bohi,Marshmallow,"6' 4""",260 lbs.,--,,8,5,0,13,265,193.04
1447,Justin,Haskins,,"5' 10""",170 lbs.,--,Orthodox,7,6,0,13,170,177.8
1448,Damien,Trites,The Omen,"5' 11""",165 lbs.,--,,7,6,0,13,165,180.34
1449,Vik,Grujic,The Spartan,"5' 11""",170 lbs.,"73.0""",Orthodox,7,6,0,13,170,180.34
1450,Heather Jo,Clark,Hurricane,"5' 6""",115 lbs.,"64.0""",,7,6,0,13,115,167.64000000000001
