,First,Last,Nickname,Ht,Wt,Reach,Stance,Win,Loss,Draw,Total Fights,Wt_numeric,Htcm
1706,Bartosz,Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,14,2,0,16,170,182.88
1707,Ryan,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,2,0,16,170,185.42
1708,Matt,Lucas,Luke Duke,"6' 1""",205 lbs.,--,,14,2,0,16,205,185.42
1709,Cain,Velasquez,,"6' 1""",240 lbs.,"77.0""",Orthodox,14,2,0,16,265,185.42
1710,Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,13,2,1,16,170,187.96
1711,Ednaldo,Oliveira,Lula,"6' 5""",205 lbs.,"79.0""",Orthodox,13,2,1,16,205,195.57999999999998
1712,Jamall,Emmers,Pretty Boy,"5' 10""",145 lbs.,"74.0""",Orthodox,13,3,0,16,145,177.8
1713,Gilbert,Burns,Durinho,"5' 10""",155 lbs.,"71.0""",Orthodox,13,3,0,16,155,177.8
1714,Darrell,Horcher,The Saint,"5' 10""",155 lbs.,"70.0""",Southpaw,13,3,0,16,155,177.8
1715,Dongi,Yang,The Ox,"5' 10""",185 lbs.,"71.0""",Southpaw,13,3,0,16,185,177.8
1716,Alex,Reyes,The Executioner,"5' 11""",170 lbs.,"73.0""",Orthodox,13,3,0,16,170,180.34
1717,Ashkan,Mokhtarian,The Assassin,"5' 6""",125 lbs.,"67.0""",Southpaw,13,3,0,16,125,167.64000000000001
1718,Brandon,Visher,The Viper,"5' 6""",135 lbs.,"68.0""",Orthodox,13,3,0,16,135,167.64000000000001
1719,Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0,16,145,167.64000000000001
1720,Anthony,Birchak,El Toro,"5' 8""",135 lbs.,"69.0""",Orthodox,13,3,0,16,135,172.72
1721,Lukasz,Sajewski,Wookie,"5' 8""",155 lbs.,"71.0""",Orthodox,13,3,0,16,155,172.72
1722,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,16,145,175.26
1723,Henry,Corrales,,"5' 9""",145 lbs.,--,,13,3,0,16,145,175.26
1724,Marcio,Alexandre Junior,Lyoto,"6' 0""",170 lbs.,"75.0""",Southpaw,13,3,0,16,170,182.88
1725,Nick,Ring,The Promise,"6' 0""",185 lbs.,"74.0""",Southpaw,13,3,0,16,185,182.88
1726,Yoel,Romero,Soldier of God,"6' 0""",185 lbs.,"73.0""",Southpaw,13,3,0,16,185,182.88
1727,Phil,Davis,Mr. Wonderful,"6' 2""",205 lbs.,"79.0""",Orthodox,13,3,0,16,205,187.96
1728,Kevin,Holland,Trailblazer,"6' 3""",185 lbs.,"81.0""",Orthodox,13,3,0,16,185,190.5
1729,Marcin,Prachnio,,"6' 3""",205 lbs.,"74.0""",Orthodox,13,3,0,16,205,190.5
1731,Adrian,Diaz,,"5' 10""",145 lbs.,--,Southpaw,11,4,1,16,145,177.8
1732,Thibault,Gouti,GT,"5' 10""",155 lbs.,"72.0""",Orthodox,12,4,0,16,155,177.8
1733,Daniel,Roberts,Ninja,"5' 10""",170 lbs.,"74.0""",Southpaw,12,4,0,16,170,177.8
1734,Jason,Saggo,,"5' 11""",155 lbs.,"71.0""",Orthodox,12,4,0,16,155,180.34
1735,Tony,Sims,,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,0,16,155,180.34
1736,Luiz,Dutra,Besouro,"5' 11""",170 lbs.,"71.0""",Orthodox,11,4,1,16,170,180.34
1737,Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,4,0,16,135,165.1
1738,Manny,Tapia,The Mangler,"5' 5""",135 lbs.,"67.0""",Orthodox,11,4,1,16,135,165.1
1739,Matt,Schnell,Danger,"5' 8""",125 lbs.,"70.0""",Orthodox,12,4,0,16,125,172.72
1740,Holly,Holm,The Preacher's Daughter,"5' 8""",145 lbs.,"69.0""",Southpaw,12,4,0,16,145,172.72
1741,Shane,Young,Sugar,"5' 8""",145 lbs.,"72.0""",Orthodox,12,4,0,16,145,172.72
1742,Rob,Whiteford,The Hammer,"5' 9""",145 lbs.,"69.0""",Southpaw,12,4,0,16,145,175.26
1743,Damir,Hadzovic,The Bosnian Bomber,"5' 9""",155 lbs.,"70.0""",Orthodox,12,4,0,16,155,175.26
1744,Paul,Kelly,,"5' 9""",155 lbs.,"70.0""",Orthodox,12,4,0,16,155,175.26
1745,Rodney,Wallace,Shonuff the Master,"5' 9""",205 lbs.,"72.0""",Switch,11,4,1,16,205,175.26
1746,Alex,White,The Spartan,"6' 0""",155 lbs.,"71.0""",Southpaw,12,4,0,16,155,182.88
1747,David,Mitchell,Daudi,"6' 0""",170 lbs.,"76.0""",Orthodox,12,4,0,16,170,182.88
1748,Johnny,Rees,The Hater Hurter,"6' 0""",170 lbs.,--,Orthodox,12,4,0,16,170,182.88
1749,Nate,Quarry,Rock,"6' 0""",185 lbs.,"72.0""",Open Stance,12,4,0,16,185,182.88
1750,Michael,Patt,,"6' 0""",205 lbs.,--,Orthodox,12,4,0,16,205,182.88
1751,Ivan,Serati,,"6' 0""",205 lbs.,--,Orthodox,12,4,0,16,205,182.88
1752,Mats,Nilsson,,"6' 1""",170 lbs.,"74.0""",Orthodox,11,4,1,16,170,185.42
1753,Tim,Credeur,,"6' 3""",185 lbs.,"75.0""",Orthodox,12,4,0,16,185,190.5
1754,Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,12,4,0,16,205,190.5
1755,Henrique,da Silva,Frankenstein,"6' 3""",205 lbs.,"76.0""",Orthodox,12,4,0,16,205,190.5
1756,Tim,Johnson,,"6' 3""",265 lbs.,"77.0""",Southpaw,12,4,0,16,265,190.5
1757,Derrick,Mehmen,Caveman,"6' 4""",205 lbs.,--,,12,4,0,16,205,193.04
1758,Cory,Devela,The One,"5' 0""",185 lbs.,--,Orthodox,11,5,0,16,185,152.4
1759,Jeremiah,Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5,0,16,135,177.8
1760,Mitch,Clarke,Danger Zone,"5' 10""",155 lbs.,"73.0""",Orthodox,11,5,0,16,155,177.8
1761,Joe,Proctor,,"5' 10""",155 lbs.,"72.0""",Orthodox,11,5,0,16,155,177.8
1762,Fabio,Nascimento,Negao,"5' 10""",185 lbs.,--,Orthodox,11,5,0,16,185,177.8
1763,Fabio,Silva,,"5' 11""",205 lbs.,--,Orthodox,11,5,0,16,205,180.34
1764,Hirotaka,Yokoi,Kaibatsu-Kun,"5' 11""",205 lbs.,--,Orthodox,11,5,0,16,205,180.34
1765,Milana,Dudieva,,"5' 3""",135 lbs.,"61.0""",Orthodox,11,5,0,16,135,160.02
1766,Joshua,Sampo,The Gremlin,"5' 4""",125 lbs.,"64.0""",Orthodox,11,5,0,16,125,162.56
1767,Eric,Shelton,Showtime,"5' 6""",125 lbs.,"68.0""",Orthodox,11,5,0,16,125,167.64000000000001
1768,Sara,McMann,,"5' 6""",135 lbs.,"66.0""",Orthodox,11,5,0,16,135,167.64000000000001
1769,Justin,Scoggins,,"5' 7""",125 lbs.,"66.0""",Southpaw,11,5,0,16,125,170.18
1770,Waylon,Lowe,,"5' 7""",145 lbs.,--,Southpaw,11,5,0,16,145,170.18
1771,Marlon,Vera,Chito,"5' 8""",135 lbs.,"70.0""",Switch,10,5,1,16,135,172.72
1772,Yosdenis,Cedeno,Pink Panther,"5' 8""",155 lbs.,"69.0""",Orthodox,10,5,1,16,155,172.72
1773,Louis,Smolka,Da Last Samurai,"5' 9""",125 lbs.,"68.0""",Orthodox,11,5,0,16,125,175.26
1774,Roger,Bowling,Relentless,"5' 9""",155 lbs.,"68.0""",Orthodox,11,5,0,16,155,175.26
1775,Joe,Vedepo,The Doctor,"6' 0""",185 lbs.,--,Orthodox,11,5,0,16,185,182.88
1776,Mario,Neto,Sukata,"6' 0""",229 lbs.,--,Orthodox,11,5,0,16,265,182.88
1777,Antwain,Britt,The Juggernaut,"6' 1""",205 lbs.,"77.0""",,11,5,0,16,205,185.42
1778,Brandon,Thatch,Rukus,"6' 2""",170 lbs.,"74.0""",Switch,11,5,0,16,170,187.96
1779,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,11,5,0,16,205,187.96
1780,Darrill,Schoonover,The Boss,"6' 2""",220 lbs.,--,Orthodox,11,5,0,16,265,187.96
1781,Brendan,Schaub,Big Brown,"6' 4""",245 lbs.,"78.0""",Orthodox,11,5,0,16,265,193.04
1782,Chase,Sherman,The Vanilla Gorilla,"6' 4""",250 lbs.,"78.0""",Orthodox,11,5,0,16,265,193.04
1783,Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,10,6,0,16,145,177.8
1784,Paul,Redmond,Redser,"5' 10""",145 lbs.,"70.0""",Orthodox,10,6,0,16,145,177.8
1785,Ramsey,Nijem,,"5' 11""",155 lbs.,"75.0""",Orthodox,10,6,0,16,155,180.34
1786,Travis,Lutter,The Serial Killer,"5' 11""",185 lbs.,"75.0""",Orthodox,10,6,0,16,185,180.34
1787,Bojan,Mihajlovic,,"5' 11""",205 lbs.,"73.0""",Orthodox,10,6,0,16,205,180.34
1788,Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0,16,135,165.1
1789,Mike,Joy,,"5' 6""",155 lbs.,--,Southpaw,10,6,0,16,155,167.64000000000001
1790,Jeff,Hougland,Hellbound,"5' 7""",135 lbs.,"68.0""",Orthodox,10,6,0,16,135,170.18
1791,Treston,Thomison,,"5' 8""",145 lbs.,--,,10,6,0,16,145,172.72
1792,Alex,Karalexis,The Assassin,"5' 8""",155 lbs.,"66.0""",Orthodox,10,6,0,16,155,172.72
1793,Samy,Schiavo,,"5' 8""",155 lbs.,--,Orthodox,10,6,0,16,155,172.72
1794,Daniel,Sarafian,,"5' 9""",185 lbs.,"73.0""",Orthodox,10,6,0,16,185,175.26
1795,Blair,Tugman,,"6' 0""",135 lbs.,--,,10,6,0,16,135,182.88
1796,Drew,McFedries,The Massacre,"6' 0""",185 lbs.,"72.0""",Southpaw,10,6,0,16,185,182.88
1797,Tom,Lawlor,Filthy,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,0,16,205,182.88
1798,Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,10,6,0,16,185,187.96
1799,Brad,Morris,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,16,205,187.96
1800,Bobby,Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,16,205,187.96
1801,Remco,Pardoel,Grizzly,"6' 3""",260 lbs.,--,Southpaw,9,6,1,16,265,190.5
1802,Muhsin,Corbbrey,,"5' 10""",155 lbs.,--,Orthodox,9,7,0,16,155,177.8
1803,David,Lee,,"5' 10""",155 lbs.,--,Orthodox,9,7,0,16,155,177.8
1804,Raquel,Pennington,Rocky,"5' 7""",135 lbs.,"67.0""",Orthodox,9,7,0,16,135,170.18
1805,Chatt,Lavender,,"5' 8""",170 lbs.,--,,9,7,0,16,170,172.72
1806,Nate,Mohr,,"5' 9""",155 lbs.,"72.0""",Orthodox,9,7,0,16,155,175.26
1807,Gerald,Strebendt,The Finishing Machine,"5' 9""",155 lbs.,--,Orthodox,9,7,0,16,155,175.26
1808,Andy,Wang,,"5' 6""",155 lbs.,--,Orthodox,7,8,1,16,155,167.64000000000001
1809,Fabiano,Scherner,Pegaleve,"6' 3""",257 lbs.,--,Orthodox,8,8,0,16,265,190.5
1810,Kazuki,Okubo,,"5' 11""",175 lbs.,--,Orthodox,7,9,0,16,175,180.34
1811,Rodrigo,Gripp de Sousa,Riscado,"5' 11""",205 lbs.,--,Orthodox,7,9,0,16,205,180.34
1812,Soichi,Nishida,,"5' 11""",320 lbs.,--,Orthodox,5,10,1,16,300,180.34
1813,Khomkrit,Niimi,The Bumblebee,"5' 2""",125 lbs.,--,,6,10,0,16,125,157.48000000000002
1814,Kristof,Midoux,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,6,10,0,16,265,185.42
1815,Katsuyori,Shibata,,"6' 0""",168 lbs.,--,Orthodox,4,11,1,16,168,182.88
1816,Josh,Neal,,"6' 0""",185 lbs.,--,,5,11,0,16,185,182.88
1819,Idris,Wasi,,"6' 0""",186 lbs.,--,,2,14,0,16,186,182.88
1820,Islam,Makhachev,,"5' 10""",155 lbs.,"70.0""",Orthodox,16,1,0,17,155,177.8
1821,Weili,Zhang,Magnum,"5' 4""",115 lbs.,--,Switch,16,1,0,17,115,162.56
1822,Pedro,Nobre,The Rock,"5' 5""",135 lbs.,--,,14,1,2,17,135,165.1
1823,Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,15,2,0,17,155,177.8
1824,Nicolas,Dalby,Sharpshooter,"5' 11""",170 lbs.,"74.0""",Orthodox,14,2,1,17,170,180.34
1825,Joanna,Jedrzejczyk,,"5' 6""",115 lbs.,"65.0""",Orthodox,15,2,0,17,115,167.64000000000001
1826,Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,15,2,0,17,145,170.18
1827,Joe,Ellenberger,Excalibur,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0,17,155,175.26
1828,Andy,Murad,The Tooth Fairy,"5' 9""",185 lbs.,--,,15,2,0,17,185,175.26
1829,Volkan,Oezdemir,No Time,"6' 2""",205 lbs.,"75.0""",Orthodox,15,2,0,17,205,187.96
1830,Andre,Roberts,The Chief,"6' 2""",345 lbs.,--,Orthodox,14,2,1,17,300,187.96
1832,Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,14,3,0,17,145,177.8
1833,Dooho,Choi,The Korean Superboy,"5' 10""",145 lbs.,"70.0""",Orthodox,14,3,0,17,145,177.8
1834,Chad,Laprise,The Disciple,"5' 10""",170 lbs.,"71.0""",Orthodox,14,3,0,17,170,177.8
1835,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,14,3,0,17,170,180.34
1836,Jake,Matthews,The Celtic Kid,"5' 11""",170 lbs.,"73.0""",Orthodox,14,3,0,17,170,180.34
1837,James,Lee,,"5' 11""",205 lbs.,--,Southpaw,14,3,0,17,205,180.34
1838,Matheus,Nicolau,,"5' 6""",125 lbs.,"66.0""",,13,3,1,17,125,167.64000000000001
1839,Nathaniel,Wood,The Prospect,"5' 6""",135 lbs.,"69.0""",Orthodox,14,3,0,17,135,167.64000000000001
1840,Wagnney,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,14,3,0,17,145,167.64000000000001
1841,Rilley,Dutro,The Perfect Storm,"5' 8""",125 lbs.,"70.0""",Orthodox,14,3,0,17,125,172.72
1842,Chris,Gruetzemacher,Gritz,"5' 8""",155 lbs.,"68.0""",Orthodox,14,3,0,17,155,172.72
1843,Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,17,155,182.88
1844,Mike,Bronzoulis,The Greek,"6' 0""",155 lbs.,--,,13,3,1,17,155,182.88
1845,Ronny,Markes,,"6' 1""",185 lbs.,"75.0""",Orthodox,14,3,0,17,185,185.42
1846,Ion,Cutelaba,The Hulk,"6' 1""",205 lbs.,"75.0""",Southpaw,14,3,0,17,205,185.42
1847,Chris,Weidman,The All-American,"6' 2""",185 lbs.,"78.0""",Orthodox,14,3,0,17,185,187.96
1848,Jared,Rosholt,,"6' 2""",265 lbs.,"75.0""",Orthodox,14,3,0,17,265,187.96
1849,Marcin,Bandel,Bomba,"5' 10""",155 lbs.,"70.0""",Orthodox,13,4,0,17,155,177.8
1850,Luke,Jumeau,The Jedi,"5' 11""",170 lbs.,"72.0""",Orthodox,13,4,0,17,170,180.34
1851,Rosi,Sexton,The Surgeon,"5' 3""",135 lbs.,"63.0""",Orthodox,13,4,0,17,135,160.02
1852,Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,13,4,0,17,145,175.26
1853,Valmir,Lazaro,Bidu,"6' 0""",155 lbs.,"73.0""",Orthodox,13,4,0,17,155,182.88
1854,Dan,Moret,The Hitman,"6' 0""",155 lbs.,"73.0""",Southpaw,13,4,0,17,155,182.88
1855,Tony,Martin,,"6' 0""",170 lbs.,"73.0""",Orthodox,13,4,0,17,170,182.88
1856,Daniel,Kelly,,"6' 0""",185 lbs.,"70.0""",Southpaw,13,4,0,17,185,182.88
1857,Keith,Rockel,Rock,"6' 0""",185 lbs.,--,Orthodox,12,4,1,17,185,182.88
1858,Marvin,Vettori,The Italian Dream,"6' 0""",185 lbs.,"74.0""",Southpaw,12,4,1,17,185,182.88
1859,Yusuke,Kawaguchi,,"6' 0""",255 lbs.,--,,13,4,0,17,265,182.88
1860,Pablo,Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,13,4,0,17,145,185.42
1861,Danillo,Villefort,Indio,"6' 1""",185 lbs.,--,Orthodox,13,4,0,17,185,185.42
1862,Mario,Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0,17,205,187.96
1863,Misha,Cirkunov,,"6' 3""",205 lbs.,"77.0""",Orthodox,13,4,0,17,205,190.5
1864,Jake,O'Brien,Irish,"6' 3""",205 lbs.,"76.0""",Orthodox,13,4,0,17,205,190.5
1865,Mark,Godbeer,The Hand Of,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,0,17,265,193.04
1866,Naho,Sugiyuma,Sugi Rock,"5' 1""",105 lbs.,--,,12,5,0,17,105,154.94
1867,Ryan,McGillivray,The Kid,"5' 11""",170 lbs.,--,,11,5,1,17,170,180.34
1868,Jordan,Espinosa,,"5' 6""",125 lbs.,"71.0""",Orthodox,12,5,0,17,125,167.64000000000001
1869,Mara,Romero Borella,Kunoichici,"5' 6""",125 lbs.,"69.0""",Orthodox,12,5,0,17,125,167.64000000000001
1870,Liu,Pingyuan,,"5' 6""",135 lbs.,"72.0""",Orthodox,12,5,0,17,135,167.64000000000001
1871,Marcos,Galvao,Louro,"5' 7""",135 lbs.,--,Orthodox,11,5,1,17,135,170.18
1872,Lazar,Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0,17,145,170.18
1873,Mark,Bocek,,"5' 8""",155 lbs.,"75.0""",Orthodox,12,5,0,17,155,172.72
1874,Joe,Hurley,,"5' 8""",155 lbs.,--,,12,5,0,17,155,172.72
1875,Ido,Pariente,,"5' 8""",155 lbs.,--,Orthodox,12,5,0,17,155,172.72
1876,Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",,12,5,0,17,155,175.26
1877,Allan,Goes,,"6' 0""",205 lbs.,--,Orthodox,10,5,2,17,205,182.88
1878,Steve,Mann,,"6' 1""",170 lbs.,--,,12,5,0,17,170,185.42
1879,Matt,Hamill,The Hammer,"6' 1""",205 lbs.,"76.0""",Orthodox,12,5,0,17,205,185.42
1880,Justin,McCully,The Insane One,"6' 1""",225 lbs.,"73.0""",Orthodox,10,5,2,17,265,185.42
1881,Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,12,5,0,17,185,187.96
1882,Rolando,Delgado,Roli,"6' 3""",155 lbs.,"77.0""",Orthodox,11,5,1,17,155,190.5
1883,Josh,Samman,Anqa,"6' 3""",185 lbs.,"79.0""",Orthodox,12,5,0,17,185,190.5
1884,Nandor,Guelmino,The Hun,"6' 3""",230 lbs.,"76.0""",,11,5,1,17,265,190.5
1885,Neil,Grove,Goliath,"6' 6""",265 lbs.,--,Orthodox,11,5,1,17,265,198.12
1886,Kevin,Knabjian,,"5' 10""",170 lbs.,--,Orthodox,10,6,1,17,170,177.8
1887,Brad,Gumm,,"5' 11""",170 lbs.,--,Orthodox,10,6,1,17,170,180.34
1888,Dae Won,Kim,,"5' 11""",180 lbs.,--,Orthodox,11,6,0,17,180,180.34
1889,Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,"62.0""",Orthodox,10,6,1,17,135,165.1
1890,Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,11,6,0,17,125,167.64000000000001
1891,Justin,Wilcox,Silverback,"5' 6""",155 lbs.,--,Orthodox,11,6,0,17,155,167.64000000000001
1892,John,Reedy,The Wild Child,"5' 8""",155 lbs.,--,,11,6,0,17,155,172.72
1893,Garrett,Gross,Glory to God,"5' 9""",155 lbs.,"69.0""",Orthodox,11,6,0,17,155,175.26
1894,Clint,Hester,Headbussa,"6' 2""",205 lbs.,"77.0""",Orthodox,11,6,0,17,205,187.96
1895,Dan,Charles,The Man,"6' 2""",228 lbs.,--,,10,6,1,17,265,187.96
1896,Kyle,Kingsbury,Kingsbu,"6' 4""",205 lbs.,"76.0""",Orthodox,11,6,0,17,205,193.04
1898,Jeff,Cox,The Grinder,"5' 10""",155 lbs.,--,Orthodox,10,7,0,17,155,177.8
1899,Tateki,Matsuda,Tech,"5' 7""",125 lbs.,"65.0""",Orthodox,10,7,0,17,125,170.18
1900,Rolando,Dy,Dy Incredible,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1,17,145,172.72
1901,Jeremiah,Constant,,"6' 1""",240 lbs.,--,Orthodox,10,7,0,17,265,185.42
1902,Justin,Levens,The Executioner,"5' 11""",185 lbs.,--,Orthodox,9,8,0,17,185,180.34
1903,Trenell,Young,Savant,"5' 6""",145 lbs.,--,Orthodox,9,8,0,17,145,167.64000000000001
1904,Josh,Rafferty,,"6' 0""",170 lbs.,--,Orthodox,9,8,0,17,170,182.88
1905,Jeremy,May,,"6' 1""",185 lbs.,--,,9,8,0,17,185,185.42
1906,Mike,French,,"5' 10""",145 lbs.,--,,8,9,0,17,145,177.8
1907,Christina,Marks,,"5' 7""",125 lbs.,"69.0""",Orthodox,8,9,0,17,125,170.18
1908,Ray,Seraille,,"6' 3""",246 lbs.,--,,8,9,0,17,265,190.5
1909,Kenichi,Yamamoto,,"6' 0""",170 lbs.,--,Orthodox,5,10,2,17,170,182.88
1910,Alexander,Otsuka,The Diet Butcher,"6' 1""",205 lbs.,--,Orthodox,4,13,0,17,205,185.42
1911,Darren,Till,The Gorilla,"6' 0""",170 lbs.,"74.0""",Southpaw,17,0,1,18,170,182.88
1912,Cody,Stamann,The Spartan,"5' 6""",135 lbs.,"64.0""",Orthodox,17,1,0,18,135,167.64000000000001
1913,Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,18,265,185.42
1914,Blagoy,Ivanov,Baga,"5' 11""",250 lbs.,"73.0""",Southpaw,16,2,0,18,265,180.34
1915,Tom,Duquesnoy,FireKid,"5' 7""",135 lbs.,"68.0""",Orthodox,16,2,0,18,135,170.18
1916,Elias,Theodorou,The Spartan,"6' 1""",185 lbs.,"75.0""",Orthodox,16,2,0,18,185,185.42
1917,Eduardo,Pamplona,,"5' 11""",170 lbs.,--,,15,3,0,18,170,180.34
1918,Valentina,Shevchenko,Bullet,"5' 5""",125 lbs.,"67.0""",Southpaw,15,3,0,18,125,165.1
1919,Pedro,Munhoz,The Young Punisher,"5' 6""",135 lbs.,"64.0""",Orthodox,15,3,0,18,135,167.64000000000001
1920,Aljamain,Sterling,Funk Master,"5' 7""",135 lbs.,"71.0""",Orthodox,15,3,0,18,135,170.18
1921,Jerrod,Sanders,J-Reazie,"5' 8""",135 lbs.,"72.0""",Orthodox,15,3,0,18,135,172.72
1922,Emmanuel,Sanchez,El Matador,"5' 9""",145 lbs.,"71.0""",,15,3,0,18,145,175.26
1923,Dave,Jansen,,"5' 9""",155 lbs.,"73.0""",Orthodox,15,3,0,18,155,175.26
1924,Jesse,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,15,3,0,18,170,175.26
1925,Stephen,Thompson,Wonderboy,"6' 0""",170 lbs.,"75.0""",Orthodox,14,3,1,18,170,182.88
1926,Augusto,Montano,Dodger,"6' 1""",170 lbs.,"73.0""",Orthodox,15,3,0,18,170,185.42
1927,Eun Soo,Lee,,"6' 1""",215 lbs.,--,Orthodox,15,3,0,18,265,185.42
1928,Mike,Russow,,"6' 1""",255 lbs.,"73.0""",Orthodox,15,3,0,18,265,185.42
1929,Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,12,4,2,18,185,180.34
1930,Hector,Sandoval,Kid Alex,"5' 2""",125 lbs.,"64.0""",Orthodox,14,4,0,18,125,157.48000000000002
1931,Takayo,Hashi,,"5' 4""",135 lbs.,--,Orthodox,13,4,1,18,135,162.56
1932,Coty,Wheeler,Ox,"5' 6""",135 lbs.,"67.0""",Orthodox,14,4,0,18,135,167.64000000000001
1933,Nick,Hein,Sergeant,"5' 6""",155 lbs.,"66.0""",Southpaw,14,4,0,18,155,167.64000000000001
1934,Chan Sung,Jung,The Korean Zombie,"5' 7""",145 lbs.,"72.0""",Orthodox,14,4,0,18,145,170.18
1935,Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,18,200,170.18
1936,Ricky,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0,18,170,172.72
1937,Al,Iaquinta,Raging,"5' 9""",155 lbs.,"70.0""",Orthodox,13,4,1,18,155,175.26
1938,Ansar,Chalangov,,"5' 9""",170 lbs.,--,Orthodox,14,4,0,18,170,175.26
1939,Cody,McKenzie,,"6' 0""",155 lbs.,"72.0""",Switch,14,4,0,18,155,182.88
1940,Song,Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,14,4,0,18,170,182.88
1941,Sergio,Moraes,The Panther,"6' 0""",170 lbs.,"72.0""",Orthodox,13,4,1,18,170,182.88
1942,Michael,Chiesa,Maverick,"6' 1""",155 lbs.,"75.0""",Southpaw,14,4,0,18,155,185.42
1943,Luke,Zachrich,,"6' 2""",185 lbs.,"74.0""",Orthodox,14,4,0,18,185,187.96
1944,Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,18,185,190.5
1945,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,4,0,18,265,190.5
1946,Sterling,Ford,,"5' 10""",155 lbs.,--,,13,5,0,18,155,177.8
1947,Jesse,Ronson,The Body Snatcher,"5' 10""",155 lbs.,"70.0""",Southpaw,13,5,0,18,155,177.8
1948,Doug,Marshall,The Rhino,"5' 10""",205 lbs.,--,Orthodox,13,5,0,18,205,177.8
1949,Ho Bae,Myeon,,"5' 11""",168 lbs.,--,Orthodox,12,5,1,18,168,180.34
1950,James,Giboo,,"5' 11""",170 lbs.,--,Orthodox,13,5,0,18,170,180.34
1951,Costas,Philippou,,"5' 11""",185 lbs.,"73.0""",Orthodox,13,5,0,18,185,180.34
1952,Roger,Hollett,The Hulk,"5' 11""",205 lbs.,"70.0""",Orthodox,13,5,0,18,205,180.34
1953,Darrell,Montague,Mongoose,"5' 6""",125 lbs.,"67.0""",Southpaw,13,5,0,18,125,167.64000000000001
1954,Mike,Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,13,5,0,18,135,167.64000000000001
1955,Frankie,Saenz,,"5' 6""",135 lbs.,"66.0""",Orthodox,13,5,0,18,135,167.64000000000001
1956,Nobuhiro,Obiya,,"5' 8""",145 lbs.,--,Orthodox,12,5,1,18,145,172.72
1957,Rob,Sinclair,,"5' 8""",155 lbs.,--,,13,5,0,18,155,172.72
1958,Deividas,Taurosevicius,,"5' 9""",145 lbs.,"68.0""",Southpaw,13,5,0,18,145,175.26
1959,Donnie,Liles,,"5' 9""",170 lbs.,--,Orthodox,13,5,0,18,170,175.26
1960,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,18,170,182.88
1961,Bryan,Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,13,5,0,18,170,182.88
